work	year	book	chapter	unigram_perplexity_orig	bigram_perplexity_orig	mdl_over_dl_orig	wc_orig	type_token_ratio_orig	unigram_perplexity_norm	bigram_perplexity_norm	mdl_over_dl_norm	wc_norm	type_token_ratio_norm
Jordánszky-kódex, 1516–19	1516	Mt	11	189.3124786260624	2.4012429830816955	0.44814919468776493	527	0.5977229601518027	181.41194526481772	2.2954945630399965	0.48438403701561594	487	0.6078028747433265
Jordánszky-kódex, 1516–19	1516	Mt	12	217.30500628319612	3.495297133359965	0.42109806629834257	920	0.4934782608695652	219.38386742427045	3.305192469076378	0.4532309889325241	847	0.49940968122786306
Jordánszky-kódex, 1516–19	1516	Mt	13	226.60777014911426	3.828860114372874	0.39303266840127205	1074	0.4692737430167598	219.18394463020596	3.5547544915175124	0.4220749887065201	972	0.4794238683127572
Jordánszky-kódex, 1516–19	1516	Mt	14	157.5126532111685	3.300056694753867	0.435407949790795	598	0.5434782608695652	152.11370318369438	3.0960093667408373	0.4813289401427787	542	0.5701107011070111
Jordánszky-kódex, 1516–19	1516	Mt	15	191.18634409162658	3.087877581408936	0.43190212373037856	655	0.5526717557251909	185.6666893060634	2.953079569608457	0.46381341668670356	605	0.5603305785123966
Jordánszky-kódex, 1516–19	1516	Mt	16	181.70200607316733	2.748440806200404	0.4448478078748953	545	0.5577981651376147	180.29052641969292	2.506187870927527	0.46799884158702576	508	0.562992125984252
Jordánszky-kódex, 1516–19	1516	Mt	17	173.18629314627177	2.5748369154539543	0.46634176058483096	522	0.5862068965517241	166.05211252065195	2.4838588309948784	0.4982545223738496	484	0.5888429752066116
Jordánszky-kódex, 1516–19	1516	Mt	18	191.08851491898625	3.0702388721277214	0.40080609046126286	704	0.4928977272727273	192.50268871158923	2.5666099827325333	0.43257116192253847	619	0.5088852988691438
Jordánszky-kódex, 1516–19	1516	Mt	19	204.95352138460518	2.4841021474071723	0.4284970044282365	571	0.563922942206655	192.626897193728	2.4145132916916316	0.46282779129494456	539	0.5473098330241187
Jordánszky-kódex, 1516–19	1516	Mt	20	193.25813825909074	2.659430766356513	0.43882091212458285	564	0.5620567375886525	178.6356332784018	2.576409837993546	0.4773055796472969	520	0.5557692307692308
Jordánszky-kódex, 1516–19	1516	Mt	21	233.1924686282283	3.3100781831731	0.42227141154435555	904	0.5154867256637168	207.22467544947935	3.2417236397303753	0.4439102564102564	832	0.5012019230769231
Jordánszky-kódex, 1516–19	1516	Mt	22	206.7126418089803	3.007594788688787	0.4396167557932264	679	0.5508100147275405	189.96385956593474	2.9582680173329234	0.4670380687093779	627	0.5454545454545454
Jordánszky-kódex, 1516–19	1516	Mt	23	178.31087347444782	2.989705466433703	0.4056525353283458	692	0.5202312138728323	172.45738274942318	2.854044683323197	0.43739279588336194	643	0.52099533437014
Jordánszky-kódex, 1516–19	1516	Mt	24	218.3923276601567	3.3508895494212037	0.42175607945052906	841	0.5101070154577884	202.60045234902898	3.3081273892554113	0.45319722650231126	781	0.5032010243277849
Jordánszky-kódex, 1516–19	1516	Mt	25	187.89583104625947	3.345795149022034	0.3891944990176817	812	0.4618226600985222	180.41264669041763	3.1379721001594882	0.4197327852004111	757	0.44517833553500663
Jordánszky-kódex, 1516–19	1516	Mt	26	274.200225626599	3.910093253633207	0.4045633541811443	1329	0.4710308502633559	265.37977306436386	3.656454138268858	0.42621951219512194	1208	0.47516556291390727
Jordánszky-kódex, 1516–19	1516	Mt	27	287.4327707646258	3.3651448836359954	0.41741822587158434	1124	0.5088967971530249	274.87925860698334	3.1644447481672	0.4478328391924326	1025	0.5151219512195122
Jordánszky-kódex, 1516–19	1516	Mt	28	143.74311441783104	2.3868513815743153	0.4555461473327688	359	0.596100278551532	135.69177422098787	2.2374799216079944	0.49272165857962064	323	0.5975232198142415
Jordánszky-kódex, 1516–19	1516	Mk	1	222.34217562301998	3.0645985677066605	0.43154010487473293	766	0.5483028720626631	209.79359957921613	2.901479029985002	0.4675112382509195	702	0.5598290598290598
Jordánszky-kódex, 1516–19	1516	Mk	2	178.5985811887372	2.831069500443806	0.43224932249322495	583	0.5403087478559176	160.25911216839225	2.786377239315816	0.4620378210556026	535	0.5383177570093458
Jordánszky-kódex, 1516–19	1516	Mk	3	182.92197913814843	2.841419456256066	0.4369837463362643	581	0.5559380378657487	175.42896180471993	2.6242849510080974	0.4812430011198208	534	0.5674157303370787
Jordánszky-kódex, 1516–19	1516	Mk	4	187.66527373858472	3.232518956759521	0.4139991463935126	742	0.5107816711590296	169.99361441777867	3.1432320456029115	0.443029490616622	674	0.49554896142433236
Jordánszky-kódex, 1516–19	1516	Mk	5	169.5026706397281	3.8740122291393306	0.4241744802282919	798	0.48120300751879697	165.31320885274056	3.7357831009560787	0.45525869380831213	739	0.4979702300405954
Jordánszky-kódex, 1516–19	1516	Mk	6	217.9218749783867	4.02272521830425	0.41105454545454545	1068	0.48408239700374533	216.89133146034663	3.7344589482163957	0.4553503281941688	990	0.49797979797979797
Jordánszky-kódex, 1516–19	1516	Mk	7	210.16614574706543	2.7677812239407977	0.41993127147766324	644	0.5559006211180124	196.7386264768165	2.6826135907955537	0.4580552907530982	602	0.5448504983388704
Jordánszky-kódex, 1516–19	1516	Mk	8	187.77376029951094	3.0415624965793575	0.42032967032967034	661	0.5325264750378215	185.3250122221967	2.878468841776761	0.46357455075279264	606	0.5445544554455446
Jordánszky-kódex, 1516–19	1516	Mk	9	239.19682415570173	3.378191577701876	0.4059905583591079	973	0.4943473792394656	233.044165802222	3.1169628468059876	0.44380753864860173	885	0.49830508474576274
Jordánszky-kódex, 1516–19	1516	Mk	10	250.51423635105513	3.178268369137608	0.4118777012966224	942	0.5116772823779193	230.87928579893122	3.1174585858912036	0.44390161725067384	873	0.5028636884306987
Jordánszky-kódex, 1516–19	1516	Mk	11	178.17617859806782	3.072114010255279	0.42092689918776877	656	0.5030487804878049	171.37562360227506	2.832481254409266	0.45221799746514574	589	0.5161290322580645
